tweet_id,timestamp,rating,retweet_count,favorite_count,breed,confidence,name,dog_type,source,text
892420643555336193,2017-08-01 16:23:56,13,7488,35460,none,0,Phineas,,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27,13,5557,30695,Chihuahua,32,Tilly,,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV"
891815181378084864,2017-07-31 00:18:03,12,3680,23089,Chihuahua,71,Archie,,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30 15:58:51,13,7665,38744,Labrador_retriever,16,Darla,,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24,12,8267,37028,basset,55,Franklin,,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f"
891087950875897856,2017-07-29 00:08:17,13,2767,18664,Chesapeake_Bay_retriever,42,None,,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28 16:27:12,13,1797,10848,Appenzeller,34,Jax,,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl"
890729181411237888,2017-07-28 00:22:40,13,16770,59771,Pomeranian,56,None,,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq
890609185150312448,2017-07-27 16:25:51,13,3822,25687,Irish_terrier,48,Zoey,,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26 15:59:51,14,6508,29320,Pembroke,51,Cassie,doggo,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26 00:31:25,13,6515,28251,Samoyed,95,Koda,,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25 16:11:53,13,4430,25708,French_bulldog,37,Bruno,,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g
889665388333682689,2017-07-25 01:55:32,13,8889,44165,Pembroke,96,None,puppo,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25 00:10:02,12,3973,24844,French_bulldog,99,Ted,,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR
889531135344209921,2017-07-24 17:02:04,13,2008,13971,golden_retriever,95,Stuart,puppo,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq
889278841981685760,2017-07-24 00:19:32,13,4736,23188,whippet,62,Oliver,,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb
888917238123831296,2017-07-23 00:22:39,12,3985,26807,golden_retriever,71,Jim,,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN
888804989199671297,2017-07-22 16:56:37,13,3760,23522,golden_retriever,46,Zeke,,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K
888554962724278272,2017-07-22 00:23:06,13,3074,18139,Siberian_husky,70,Ralphus,,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK
888078434458587136,2017-07-20 16:49:33,12,3080,20035,French_bulldog,99,Gerald,,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX
887705289381826560,2017-07-19 16:06:48,13,4797,27866,basset,82,Jeffrey,,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64
887517139158093824,2017-07-19 03:39:09,14,10464,42686,none,0,none,,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba
887473957103951883,2017-07-19 00:47:34,13,15981,63221,Pembroke,80,Canela,,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX
887343217045368832,2017-07-18 16:08:03,13,9356,30996,Mexican_hairless,33,None,,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV
887101392804085760,2017-07-18 00:07:08,12,5300,28203,Samoyed,73,None,,Twitter for iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp
886983233522544640,2017-07-17 16:17:36,13,6795,32046,Chihuahua,79,Maya,,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT
886736880519319552,2017-07-16 23:58:41,13,2833,11002,kuvasz,30,Mingus,,Twitter for iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b"
886680336477933568,2017-07-16 20:14:00,13,3985,20712,none,0,Derek,,Twitter for iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA
886366144734445568,2017-07-15 23:25:31,12,2811,19450,French_bulldog,99,Roscoe,pupper,Twitter for iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox
886258384151887873,2017-07-15 16:17:19,13,5625,25746,pug,94,Waffles,,Twitter for iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O
885984800019947520,2017-07-14 22:10:11,12,5970,29969,Blenheim_spaniel,97,Jimbo,,Twitter for iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1
885528943205470208,2017-07-13 15:58:47,13,5680,33077,pug,36,Maisey,,Twitter for iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF
885167619883638784,2017-07-12 16:03:00,13,3879,20140,malamute,81,None,,Twitter for iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf
884925521741709313,2017-07-12 00:01:00,12,16033,70834,Italian_greyhound,25,Earl,,Twitter for iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa"
884876753390489601,2017-07-11 20:47:12,13,4954,25593,chow,82,Lola,,Twitter for iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO
884562892145688576,2017-07-11 00:00:02,13,4181,22373,pug,54,Kevin,,Twitter for iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5
884441805382717440,2017-07-10 15:58:53,14,5070,24944,Pembroke,99,None,,Twitter for iPhone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC"
884162670584377345,2017-07-09 21:29:42,12,2661,18790,German_shepherd,70,Yogi,doggo,Twitter for iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ
883838122936631299,2017-07-09 00:00:04,12,3034,20091,Doberman,61,Noah,,Twitter for iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY
883360690899218434,2017-07-07 16:22:55,13,3277,20876,chow,98,Grizzwald,floofer,Twitter for iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP
883117836046086144,2017-07-07 00:17:54,13,5910,34105,golden_retriever,94,None,,Twitter for iPhone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E"
882992080364220416,2017-07-06 15:58:11,13,3451,21988,Eskimo_dog,46,Rusty,,Twitter for iPhone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj
882762694511734784,2017-07-06 00:46:41,12,4339,25996,Labrador_retriever,85,Gus,pupper,Twitter for iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu
882627270321602560,2017-07-05 15:48:34,13,5397,25788,Pembroke,54,Stanley,,Twitter for iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94
882268110199369728,2017-07-04 16:01:23,13,10301,41243,golden_retriever,76,Alfy,,Twitter for iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA
882045870035918850,2017-07-04 01:18:17,13,4330,26976,golden_retriever,0,Koko,,Twitter for iPhone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w"
881906580714921986,2017-07-03 16:04:48,12,3027,22435,Weimaraner,29,Rey,,Twitter for iPhone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ
881666595344535552,2017-07-03 00:11:11,13,9493,46641,Saluki,52,Gary,,Twitter for iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s
881536004380872706,2017-07-02 15:32:16,14,14232,45535,Samoyed,28,none,pupper,Twitter for iPhone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF"
881268444196462592,2017-07-01 21:49:04,12,4712,21442,none,0,Elliot,,Twitter for iPhone,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet https://t.co/cgwJwowTMC
880935762899988482,2017-06-30 23:47:07,13,2488,15756,none,0,Louis,,Twitter for iPhone,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt
880872448815771648,2017-06-30 19:35:32,12,3406,19602,Pembroke,79,None,,Twitter for iPhone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf
880465832366813184,2017-06-29 16:39:47,12,5527,26206,golden_retriever,91,Bella,,Twitter for iPhone,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw
880221127280381952,2017-06-29 00:27:25,12,3699,24812,Chihuahua,23,Jesse,,Twitter for iPhone,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK
880095782870896641,2017-06-28 16:09:20,11,3873,25436,miniature_pinscher,12,None,,Twitter for iPhone,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4
879862464715927552,2017-06-28 00:42:13,13,3097,20620,basset,81,Romeo,,Twitter for iPhone,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9
879492040517615616,2017-06-27 00:10:17,12,2827,21634,German_short-haired_pointer,47,Bailey,,Twitter for iPhone,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8
879415818425184262,2017-06-26 19:07:24,13,39691,97423,English_springer,38,Duddles,,Twitter for iPhone,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY
879376492567855104,2017-06-26 16:31:08,12,2785,15517,Labrador_retriever,3,Jack,,Twitter for iPhone,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0gOi601EAa
879050749262655488,2017-06-25 18:56:45,11,4183,20770,none,0,Steven,,Twitter for iPhone,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet https://t.co/2mJCDEJWdD
879008229531029506,2017-06-25 16:07:47,13,2386,17527,vizsla,96,Beau,,Twitter for iPhone,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN
878776093423087618,2017-06-25 00:45:22,13,3644,17857,Italian_greyhound,73,Snoopy,puppo,Twitter for iPhone,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS
878281511006478336,2017-06-23 16:00:04,13,1134,7129,basset,32,Shadow,,Twitter for iPhone,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6"
878057613040115712,2017-06-23 01:10:23,14,6062,38824,French_bulldog,83,Emmy,,Twitter for iPhone,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe
877736472329191424,2017-06-22 03:54:17,13,16862,72969,Chesapeake_Bay_retriever,83,Aja,,Twitter for iPhone,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r
877556246731214848,2017-06-21 15:58:08,12,3398,20932,basset,99,Penny,,Twitter for iPhone,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/OYdDlfOGXP
877316821321428993,2017-06-21 00:06:44,13,4650,25308,Saluki,50,Dante,,Twitter for iPhone,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc"
877201837425926144,2017-06-20 16:29:50,12,4964,25007,Pembroke,93,Nelly,,Twitter for iPhone,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y
876838120628539392,2017-06-19 16:24:33,12,2976,19099,bloodhound,57,Ginger,pupper,Twitter for iPhone,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6
876484053909872640,2017-06-18 16:57:37,13,2112,17345,golden_retriever,87,Benedict,,Twitter for iPhone,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs
876120275196170240,2017-06-17 16:52:05,13,4163,25845,Bernese_mountain_dog,53,Venti,,Twitter for iPhone,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek"
